Date,Global_active_power,kWh
2010-01-01,1224.252,20.40
2010-01-02,1308.836,21.81393333
2010-01-03,2083.454,34.72423333
2010-01-04,1604.132,26.73553333
2010-01-05,2219.78,36.99633333
2010-01-06,1777.18,29.61966667
2010-01-07,1769.442,29.4907
2010-01-08,1797.208,29.95346667
2010-01-09,2336.9,38.94833333
2010-01-10,2508.466,41.80776667
2010-01-11,1518.684,25.3114
2010-01-12,1282.538,21.37563333
2010-01-14,618.488,10.30813333
2010-01-15,2196.76,36.61266667
2010-01-16,2150.112,35.8352
2010-01-17,1906.556,31.77593333
2010-01-18,1881.098,31.35163333
2010-01-19,2433.508,40.55846667
2010-01-20,2351.728,39.19546667
2010-01-21,2137.856,35.63093333
2010-01-22,1790.626,29.84376667
2010-01-23,2608.51,43.47516667
2010-01-24,2269.42,37.82366667
2010-01-25,1930.51,32.17516667
2010-01-26,2067.564,34.4594
2010-01-27,2760.902,46.01503333
2010-01-28,2110.234,35.17056667
2010-01-29,2092.99,34.88316667
2010-01-30,2842.728,47.3788
2010-01-31,1799.196,29.9866
2010-02-01,1693.778,28.22963333
2010-02-02,2157.432,35.9572
2010-02-03,2903.014,48.38356667
2010-02-04,2316.27,38.6045
2010-02-05,2098.892,34.98153333
2010-02-06,2712.986,45.21643333
2010-02-07,1625.708,27.09513333
2010-02-08,2582.238,43.0373
2010-02-09,2420.932,40.34886667
2010-02-10,1944.542,32.40903333
2010-02-11,1369.768,22.82946667
2010-02-12,1892.998,31.54996667
2010-02-13,2351.556,39.1926
2010-02-14,1686.698,28.11163333
2010-02-15,2097.132,34.9522
2010-02-16,1797.756,29.9626
2010-02-17,2054.56,34.24266667
2010-02-18,1761.156,29.3526
2010-02-19,1953.572,32.55953333
2010-02-20,1983.728,33.06213333
2010-02-21,2740.314,45.6719
2010-02-22,1474.036,24.56726667
2010-02-23,1461.28,24.35466667
2010-02-24,1914.278,31.90463333
2010-02-25,1880.204,31.33673333
2010-02-26,2120.156,35.33593333
2010-02-27,1765.056,29.4176
2010-02-28,711.666,11.8611
2010-03-01,1298.728,21.64546667
2010-03-02,766.906,12.78176667
2010-03-03,935.834,15.59723333
2010-03-04,682.88,11.38133333
2010-03-05,1133.726,18.89543333
2010-03-06,794.712,13.2452
2010-03-07,1372.472,22.87453333
2010-03-08,2557.098,42.6183
2010-03-09,1760.112,29.3352
2010-03-10,1822.632,30.3772
2010-03-11,1951.09,32.51816667
2010-03-12,1645.424,27.42373333
2010-03-13,2383.01,39.71683333
2010-03-14,1566.714,26.1119
2010-03-15,1791.85,29.86416667
2010-03-16,1542.65,25.71083333
2010-03-17,2009.13,33.4855
2010-03-18,1562.682,26.0447
2010-03-19,1663.384,27.72306667
2010-03-20,131.732,2.195533333
2010-03-21,917.282,15.28803333
2010-03-22,1618.59,26.9765
2010-03-23,1822.162,30.36936667
2010-03-24,1994.752,33.24586667
2010-03-25,1679.884,27.99806667
2010-03-26,1651.284,27.5214
2010-03-27,1847.97,30.7995
2010-03-28,1798.214,29.97023333
2010-03-29,1622.738,27.04563333
2010-03-30,1906.454,31.77423333
2010-03-31,1923.802,32.06336667
2010-04-01,1687.44,28.124
2010-04-02,1648.622,27.47703333
2010-04-03,1805.278,30.08796667
2010-04-04,1690.388,28.17313333
2010-04-05,1118.82,18.647
2010-04-06,1825.852,30.43086667
2010-04-07,1596.982,26.61636667
2010-04-08,1649.22,27.487
2010-04-09,1233.35,20.55583333
2010-04-10,1190.208,19.8368
2010-04-11,1602.81,26.7135
2010-04-12,1439.426,23.99043333
2010-04-13,1512.704,25.21173333
2010-04-14,1660.364,27.67273333
2010-04-15,1872.178,31.20296667
2010-04-16,1562.062,26.03436667
2010-04-17,1557.712,25.96186667
2010-04-18,1476.106,24.60176667
2010-04-19,1708.594,28.47656667
2010-04-20,1833.628,30.56046667
2010-04-21,1579.914,26.3319
2010-04-22,1460.904,24.3484
2010-04-23,1180.536,19.6756
2010-04-24,1518.418,25.30696667
2010-04-25,1542.742,25.71236667
2010-04-26,1082.716,18.04526667
2010-04-27,1250.94,20.849
2010-04-28,867.858,14.4643
2010-04-29,1103.724,18.3954
2010-04-30,1118.628,18.6438
2010-05-01,1320.158,22.00263333
2010-05-02,2187.91,36.46516667
2010-05-03,1411.302,23.5217
2010-05-04,1516.96,25.28266667
2010-05-05,1805.308,30.08846667
2010-05-06,1299.25,21.65416667
2010-05-07,1644.004,27.40006667
2010-05-08,1533.422,25.55703333
2010-05-09,1566.51,26.1085
2010-05-10,1467.892,24.46486667
2010-05-11,1571.368,26.18946667
2010-05-12,2035.418,33.92363333
2010-05-13,1552.496,25.87493333
2010-05-14,1722.146,28.70243333
2010-05-15,1944.772,32.41286667
2010-05-16,2100.426,35.0071
2010-05-17,1628.182,27.13636667
2010-05-18,1421.184,23.6864
2010-05-19,1426.752,23.7792
2010-05-20,1153.898,19.23163333
2010-05-21,1294.396,21.57326667
2010-05-22,2095.772,34.92953333
2010-05-23,1487.556,24.7926
2010-05-24,1341.332,22.35553333
2010-05-25,1198.626,19.9771
2010-05-26,1387.884,23.1314
2010-05-27,1323.342,22.0557
2010-05-28,1398.164,23.30273333
2010-05-29,2049.808,34.16346667
2010-05-30,1665.7,27.76166667
2010-05-31,1340.462,22.34103333
2010-06-01,1268.964,21.1494
2010-06-02,980.898,16.3483
2010-06-03,1394.186,23.23643333
2010-06-04,1420.554,23.6759
2010-06-05,2009.644,33.49406667
2010-06-06,1746.792,29.1132
2010-06-07,1012.082,16.86803333
2010-06-08,1362.034,22.70056667
2010-06-09,1534.682,25.57803333
2010-06-10,1215.19,20.25316667
2010-06-11,1470.672,24.5112
2010-06-12,1973.108,32.88513333
2010-06-13,1674.356,27.90593333
2010-06-14,1217.984,20.29973333
2010-06-15,1223.966,20.39943333
2010-06-16,1768.092,29.4682
2010-06-17,1028.018,17.13363333
2010-06-18,1332.316,22.20526667
2010-06-19,1416.22,23.60366667
2010-06-20,1672.55,27.87583333
2010-06-21,1660.89,27.6815
2010-06-22,1520.588,25.34313333
2010-06-23,1442.064,24.0344
2010-06-24,1095.78,18.263
2010-06-25,1099.438,18.32396667
2010-06-26,981.62,16.36033333
2010-06-27,1139.964,18.9994
2010-06-28,1471.34,24.52233333
2010-06-29,1367.296,22.78826667
2010-06-30,1384.136,23.06893333
2010-07-01,1349.002,22.48336667
2010-07-02,1140.928,19.01546667
2010-07-03,1120.074,18.6679
2010-07-04,1538.088,25.6348
2010-07-05,1113.99,18.5665
2010-07-06,1005.934,16.76556667
2010-07-07,834.788,13.91313333
2010-07-08,1212.652,20.21086667
2010-07-09,1083.478,18.05796667
2010-07-10,1154.504,19.24173333
2010-07-11,1193.572,19.89286667
2010-07-12,1109.574,18.4929
2010-07-13,1382.114,23.03523333
2010-07-14,1409.472,23.4912
2010-07-15,1633.162,27.21936667
2010-07-16,820.056,13.6676
2010-07-17,806.352,13.4392
2010-07-18,812.038,13.53396667
2010-07-19,801.158,13.35263333
2010-07-20,855.824,14.26373333
2010-07-21,1064.166,17.7361
2010-07-22,1164.446,19.40743333
2010-07-23,1176.158,19.60263333
2010-07-24,921.668,15.36113333
2010-07-25,1130.41,18.84016667
2010-07-26,884.15,14.73583333
2010-07-27,952.36,15.87266667
2010-07-28,862.654,14.37756667
2010-07-29,549.104,9.151733333
2010-07-30,551.26,9.187666667
2010-07-31,554.616,9.2436
2010-08-01,555.664,9.261066667
2010-08-02,549.482,9.158033333
2010-08-03,615.212,10.25353333
2010-08-04,543.356,9.055933333
2010-08-05,533.476,8.891266667
2010-08-06,524.746,8.745766667
2010-08-07,527.476,8.791266667
2010-08-08,528.46,8.807666667
2010-08-09,535.064,8.917733333
2010-08-10,544.758,9.0793
2010-08-11,542.002,9.033366667
2010-08-12,529.698,8.8283
2010-08-13,534.294,8.9049
2010-08-14,554.27,9.237833333
2010-08-15,1055.986,17.59976667
2010-08-16,1129.73,18.82883333
2010-08-17,978.202,16.30336667
2010-08-22,93.338,1.555633333
2010-08-23,765.658,12.76096667
2010-08-24,722.948,12.04913333
2010-08-25,980.408,16.34013333
2010-08-26,757.252,12.62086667
2010-08-27,2030.65,33.84416667
2010-08-28,1442.856,24.0476
2010-08-29,1668.48,27.808
2010-08-30,1494.802,24.91336667
2010-08-31,1365.106,22.75176667
2010-09-01,1593.318,26.5553
2010-09-02,1392.492,23.2082
2010-09-03,1346.414,22.44023333
2010-09-04,1743.84,29.064
2010-09-05,1323.018,22.0503
2010-09-06,1422.876,23.7146
2010-09-07,1451.854,24.19756667
2010-09-08,1303.812,21.7302
2010-09-09,1238.714,20.64523333
2010-09-10,1328.108,22.13513333
2010-09-11,1463.31,24.3885
2010-09-12,1612.092,26.8682
2010-09-13,1076.32,17.93866667
2010-09-14,1430.678,23.84463333
2010-09-15,986.094,16.4349
2010-09-16,1339.738,22.32896667
2010-09-17,1497.608,24.96013333
2010-09-18,1247.946,20.7991
2010-09-19,919.6,15.32666667
2010-09-20,1682.832,28.0472
2010-09-21,1111.376,18.52293333
2010-09-22,1510.394,25.17323333
2010-09-23,1449.862,24.16436667
2010-09-24,1327.992,22.1332
2010-09-25,106.006,1.766766667
2010-09-28,470.426,7.840433333
2010-09-29,1684.426,28.07376667
2010-09-30,1248.278,20.80463333
2010-10-01,1504.82,25.08033333
2010-10-02,1923.254,32.05423333
2010-10-03,1830.684,30.5114
2010-10-04,1775.96,29.59933333
2010-10-05,1854.624,30.9104
2010-10-06,1315.456,21.92426667
2010-10-07,1809.954,30.1659
2010-10-08,1510.456,25.17426667
2010-10-09,1611.78,26.863
2010-10-10,1998.904,33.31506667
2010-10-11,1622.59,27.04316667
2010-10-12,1579.692,26.3282
2010-10-13,2073.886,34.56476667
2010-10-14,2135.122,35.58536667
2010-10-15,1596.324,26.6054
2010-10-16,1000.014,16.6669
2010-10-17,1047.382,17.45636667
2010-10-18,2713.884,45.2314
2010-10-19,1925.978,32.09963333
2010-10-20,1727.964,28.7994
2010-10-21,1355.198,22.58663333
2010-10-22,1668.892,27.81486667
2010-10-23,2293.236,38.2206
2010-10-24,2390.548,39.84246667
2010-10-25,1163.292,19.3882
2010-10-26,945.904,15.76506667
2010-10-27,1260.278,21.00463333
2010-10-28,1463.326,24.38876667
2010-10-29,1204.422,20.0737
2010-10-30,2152.7,35.87833333
2010-10-31,1476.43,24.60716667
2010-11-01,1383.18,23.053
2010-11-02,1191.082,19.85136667
2010-11-03,1293.298,21.55496667
2010-11-04,2555.146,42.58576667
2010-11-05,1736.088,28.9348
2010-11-06,1805.408,30.09013333
2010-11-07,1673.816,27.89693333
2010-11-08,1825.54,30.42566667
2010-11-09,2022.098,33.70163333
2010-11-10,1946.534,32.44223333
2010-11-11,1773.592,29.55986667
2010-11-12,1836.822,30.6137
2010-11-13,2023.174,33.71956667
2010-11-14,2038.392,33.9732
2010-11-15,1747.382,29.12303333
2010-11-16,1509.748,25.16246667
2010-11-17,1582.032,26.3672
2010-11-18,1652.152,27.53586667
2010-11-19,1570.4,26.17333333
2010-11-20,2197.006,36.61676667
2010-11-21,900.91,15.01516667
2010-11-22,2041.536,34.0256
2010-11-23,1577.536,26.29226667
2010-11-24,1796.248,29.93746667
2010-11-25,1431.164,23.85273333
2010-11-26,1488.104,24.80173333